"Month","Monthly U.S. female (16-19 years) unemployment figures (thousands) 1948-1981"
"1958-03",168
"1958-04",241
"1958-05",288
"1958-06",511
"1958-07",425
"1958-08",249
"1958-09",260
"1958-10",210
"1958-11",236
"1958-12",176
"1959-01",166
"1959-02",153
"1959-03",195
"1959-04",249
"1959-05",274
"1959-06",508
"1959-07",345
"1959-08",276
"1959-09",226
"1959-10",215
"1959-11",262
"1959-12",205
"1960-01",224
"1960-02",232
"1960-03",232
"1960-04",237
"1960-05",297
"1960-06",569
"1960-07",341
"1960-08",273
"1960-09",264
"1960-10",251
"1960-11",255
"1960-12",258
"1961-01",271
"1961-02",277
"1961-03",291
"1961-04",260
"1961-05",334
"1961-06",686
"1961-07",519
"1961-08",384
"1961-09",357
"1961-10",291
"1961-11",323
"1961-12",196
"1962-01",266
"1962-02",263
"1962-03",264
"1962-04",309
"1962-05",321
"1962-06",542
"1962-07",419
"1962-08",305
"1962-09",252
"1962-10",252
"1962-11",315
"1962-12",251
"1963-01",278
"1963-02",295
"1963-03",280
"1963-04",300
"1963-05",454
"1963-06",762
"1963-07",547
"1963-08",327
"1963-09",346
"1963-10",349
"1963-11",376
"1963-12",278
"1964-01",295
"1964-02",288
"1964-03",280
"1964-04",341
"1964-05",438
"1964-06",774
"1964-07",464
"1964-08",374
"1964-09",327
"1964-10",357
"1964-11",335
"1964-12",350
"1965-01",340
"1965-02",339
"1965-03",325
"1965-04",410
"1965-05",419
"1965-06",745
"1965-07",483
"1965-08",325
"1965-09",359
"1965-10",325
"1965-11",381
"1965-12",294
"1966-01",312
"1966-02",275
"1966-03",288
"1966-04",390
"1966-05",476
"1966-06",827
"1966-07",571
"1966-08",403
"1966-09",324
"1966-10",343
"1966-11",370
"1966-12",275
"1967-01",276
"1967-02",346
"1967-03",276
"1967-04",260
"1967-05",269
"1967-06",710
"1967-07",584
"1967-08",446
"1967-09",394
"1967-10",397
"1967-11",409
"1967-12",320
"1968-01",265
"1968-02",352
"1968-03",322
"1968-04",299
"1968-05",324
"1968-06",820
"1968-07",675
"1968-08",427
"1968-09",402
"1968-10",355
"1968-11",391
"1968-12",317
"1969-01",276
"1969-02",323
"1969-03",322
"1969-04",322
"1969-05",319
"1969-06",761
"1969-07",587
"1969-08",458
"1969-09",435
"1969-10",434
"1969-11",388
"1969-12",325
"1970-01",385
"1970-02",378
"1970-03",387
"1970-04",400
"1970-05",335
"1970-06",835
"1970-07",644
"1970-08",552
"1970-09",553
"1970-10",531
"1970-11",617
"1970-12",463
"1971-01",463
"1971-02",474
"1971-03",507
"1971-04",460
"1971-05",433
"1971-06",902
"1971-07",805
"1971-08",596
"1971-09",597
"1971-10",528
"1971-11",589
"1971-12",468
"1972-01",514
"1972-02",526
"1972-03",537
"1972-04",522
"1972-05",405
"1972-06",959
"1972-07",816
"1972-08",651
"1972-09",626
"1972-10",566
"1972-11",568
"1972-12",480
"1973-01",448
"1973-02",558
"1973-03",507
"1973-04",524
"1973-05",469
"1973-06",905
"1973-07",742
"1973-08",570
"1973-09",625
"1973-10",552
"1973-11",585
"1973-12",501
"1974-01",568
"1974-02",556
"1974-03",565
"1974-04",452
"1974-05",528
"1974-06",1010
"1974-07",914
"1974-08",623
"1974-09",720
"1974-10",704
"1974-11",701
"1974-12",638
"1975-01",764
"1975-02",698
"1975-03",758
"1975-04",643
"1975-05",741
"1975-06",1101
"1975-07",976
"1975-08",863
"1975-09",826
"1975-10",779
"1975-11",732
"1975-12",738
"1976-01",746
"1976-02",718
"1976-03",732
"1976-04",656
"1976-05",641
"1976-06",1095
"1976-07",928
"1976-08",911
"1976-09",781
"1976-10",734
"1976-11",733
"1976-12",690
"1977-01",803
"1977-02",718
"1977-03",765
"1977-04",691
"1977-05",684
"1977-06",1157
"1977-07",929
"1977-08",808
"1977-09",833
"1977-10",750
"1977-11",742
"1977-12",589
"1978-01",740
"1978-02",696
"1978-03",719
"1978-04",647
"1978-05",706
"1978-06",1071
"1978-07",964
"1978-08",817
"1978-09",809
"1978-10",699
"1978-11",711
"1978-12",653
"1979-01",684
"1979-02",652
"1979-03",640
"1979-04",648
"1979-05",687
"1979-06",1061
"1979-07",875
"1979-08",791
"1979-09",777
"1979-10",763
"1979-11",685
"1979-12",658
"1980-01",700
"1980-02",700
"1980-03",682
"1980-04",594
"1980-05",769
"1980-06",1067
"1980-07",969
"1980-08",814
"1980-09",762
"1980-10",706
"1980-11",698
"1980-12",599
"1981-01",704
"1981-02",717
"1981-03",726
"1981-04",705
"1981-05",772
"1981-06",1068
"1981-07",933
"1981-08",799
"1981-09",832
"1981-10",846
"1981-11",824
"1981-12",678
